Name,Geography Type,Year,Resident Population,Percent Change in Resident Population,Resident Population Density,Resident Population Density Rank,Number of Representatives,Change in Number of Representatives,Average Apportionment Population Per Representative
NEBRASKA,State,1970,1483493.00,5.1,19.3,42,3,0,"498,940"
NEVADA,State,1970,488738.00,71.3,4.5,50,1,0,"492,396"
NEW HAMPSHIRE,State,1970,737681.00,21.5,82.4,23,2,0,"373,142"
NEW JERSEY,State,1970,7168164.00,18.2,974.7,2,15,0,"480,536"
NEW MEXICO,State,1970,1016000.00,6.8,8.4,48,2,0,"513,332"
NEW YORK,State,1970,18236967.00,8.7,387,8,39,-2,"470,207"
NORTH CAROLINA,State,1970,5082059.00,11.5,104.5,19,11,0,"465,930"
NORTH DAKOTA,State,1970,617761.00,-2.3,9,45,1,-1,"624,181"
OHIO,State,1970,10652017.00,9.7,260.7,11,23,-1,"466,530"
OKLAHOMA,State,1970,2559229.00,9.9,37.3,36,6,0,"430,914"
OREGON,State,1970,2091385.00,18.2,21.8,40,4,0,"527,703"
PENNSYLVANIA,State,1970,11793909.00,4.2,263.6,10,25,-2,"475,373"
PUERTO RICO,State,1970,2712033.00,15.4,792.1,4,,,
RHODE ISLAND,State,1970,946725.00,10.1,915.8,3,2,0,"478,899"
SOUTH CAROLINA,State,1970,2590516.00,8.7,86.2,21,6,0,"436,220"
SOUTH DAKOTA,State,1970,665507.00,-2.2,8.8,46,2,0,"336,624"
TENNESSEE,State,1970,3923687.00,10,95.2,20,8,-1,"495,133"
TEXAS,State,1970,11196730.00,16.9,42.9,35,24,1,"470,783"
UTAH,State,1970,1059273.00,18.9,12.9,44,2,0,"533,905"
VERMONT,State,1970,444330.00,14,48.2,32,1,0,"448,327"
VIRGINIA,State,1970,4648494.00,17.2,117.7,18,10,0,"469,074"
WASHINGTON,State,1970,3409169.00,19.5,51.3,30,7,0,"491,927"
WEST VIRGINIA,State,1970,1744237.00,-6.2,72.6,27,4,-1,"440,833"
WISCONSIN,State,1970,4417731.00,11.8,81.6,24,9,-1,"494,113"
WYOMING,State,1970,332416.00,0.7,3.4,51,1,0,"335,719"
MIDWEST REGION,Region,1970,56571663.00,9.6,,,,,
NORTHEAST REGION,Region,1970,49040703.00,9.8,,,,,
SOUTH REGION,Region,1970,62795367.00,14.2,,,,,
WEST REGION,Region,1970,34804193.00,24.1,,,,,
UNITED STATES,Nation,1970,203211926.00,13.3,57.5,,435,11,"469,088"
ALABAMA,State,1980,3893888.00,13.1,76.9,28,7,0,"555,723"
ALASKA,State,1980,401851.00,33.8,0.7,52,1,0,"400,481"
ARIZONA,State,1980,2718215.00,53.5,23.9,42,5,1,"543,573"
ARKANSAS,State,1980,2286435.00,18.9,43.9,37,4,0,"571,378"
CALIFORNIA,State,1980,23667902.00,18.6,151.9,16,45,2,"525,968"
COLORADO,State,1980,2889964.00,30.9,27.9,40,6,1,"481,472"
CONNECTICUT,State,1980,3107576.00,2.5,641.7,6,6,0,"517,929"
DELAWARE,State,1980,594338.00,8.4,305,9,1,0,"595,225"
DISTRICT OF COLUMBIA,State,1980,638333.00,-15.6,"10,456.20",1,,,
FLORIDA,State,1980,9746324.00,43.6,181.8,13,19,4,"512,631"
GEORGIA,State,1980,5463105.00,19,95,24,10,0,"546,427"
HAWAII,State,1980,964691.00,25.5,150.2,17,2,0,"482,500"
IDAHO,State,1980,943935.00,32.5,11.4,45,2,0,"471,968"
ILLINOIS,State,1980,11426518.00,2.8,205.8,12,22,-2,"519,021"
INDIANA,State,1980,5490224.00,5.7,153.2,15,10,-1,"549,018"
IOWA,State,1980,2913808.00,3.2,52.2,34,6,0,"485,565"
KANSAS,State,1980,2363679.00,5.2,28.9,39,5,0,"472,642"
KENTUCKY,State,1980,3660777.00,13.7,92.7,25,7,0,"523,062"
LOUISIANA,State,1980,4205900.00,15.5,97.3,23,8,0,"525,497"
MAINE,State,1980,1124660.00,13.4,36.5,38,2,0,"562,330"
MARYLAND,State,1980,4216975.00,7.5,434.4,7,8,0,"527,056"
MASSACHUSETTS,State,1980,5737037.00,0.8,735.5,5,11,-1,"521,549"
MICHIGAN,State,1980,9262078.00,4.4,163.8,14,18,-1,"514,352"
MINNESOTA,State,1980,4075970.00,7.1,51.2,35,8,0,"509,644"
MISSISSIPPI,State,1980,2520638.00,13.7,53.7,33,5,0,"504,128"
MISSOURI,State,1980,4916686.00,5.1,71.5,29,9,-1,"546,383"
MONTANA,State,1980,786690.00,13.3,5.4,50,2,0,"393,345"
NEBRASKA,State,1980,1569825.00,5.8,20.4,43,3,0,"523,335"
NEVADA,State,1980,800493.00,63.8,7.3,49,2,1,"399,592"
NEW HAMPSHIRE,State,1980,920610.00,24.8,102.8,22,2,0,"460,305"
NEW JERSEY,State,1980,7364823.00,2.7,"1,001.40",2,14,-1,"526,011"
NEW MEXICO,State,1980,1302894.00,28.2,10.7,46,3,1,"433,323"
NEW YORK,State,1980,17558072.00,-3.7,372.6,8,34,-5,"516,391"
NORTH CAROLINA,State,1980,5881766.00,15.7,121,19,11,0,"534,039"
NORTH DAKOTA,State,1980,652717.00,5.7,9.5,47,1,0,"652,695"
OHIO,State,1980,10797630.00,1.4,264.3,11,21,-2,"514,163"
OKLAHOMA,State,1980,3025290.00,18.2,44.1,36,6,0,"504,211"
OREGON,State,1980,2633105.00,25.9,27.4,41,5,1,"526,533"
PENNSYLVANIA,State,1980,11863895.00,0.6,265.2,10,23,-2,"515,945"
PUERTO RICO,State,1980,3196520.00,17.9,933.6,3,,,
RHODE ISLAND,State,1980,947154.00,0,916.2,4,2,0,"473,577"
SOUTH CAROLINA,State,1980,3121820.00,20.5,103.9,21,6,0,"519,868"
SOUTH DAKOTA,State,1980,690768.00,3.8,9.1,48,1,-1,"690,178"
TENNESSEE,State,1980,4591120.00,17,111.3,20,9,1,"510,083"
TEXAS,State,1980,14229191.00,27.1,54.5,32,27,3,"526,977"
UTAH,State,1980,1461037.00,37.9,17.8,44,3,1,"487,012"
VERMONT,State,1980,511456.00,15.1,55.5,31,1,0,"511,456"
VIRGINIA,State,1980,5346818.00,15,135.4,18,10,0,"534,628"
WASHINGTON,State,1980,4132156.00,21.2,62.2,30,8,1,"516,270"
WEST VIRGINIA,State,1980,1949644.00,11.8,81.1,27,4,0,"487,411"
WISCONSIN,State,1980,4705767.00,6.5,86.9,26,9,0,"522,815"
WYOMING,State,1980,469557.00,41.3,4.8,51,1,0,"470,816"
MIDWEST REGION,Region,1980,58865670.00,4.1,,,,,
NORTHEAST REGION,Region,1980,49135283.00,0.2,,,,,
SOUTH REGION,Region,1980,75372362.00,20,,,,,
WEST REGION,Region,1980,43172490.00,24,,,,,
UNITED STATES,Nation,1980,226545805.00,11.5,64.1,,435,17,"519,235"
ALABAMA,State,1990,4040587.00,3.8,79.8,27,7,0,"580,373"
ALASKA,State,1990,550043.00,36.9,1,52,1,0,"551,947"
ARIZONA,State,1990,3665228.00,34.8,32.3,39,6,1,"612,998"
ARKANSAS,State,1990,2350725.00,2.8,45.2,37,4,0,"590,560"
CALIFORNIA,State,1990,29760021.00,25.7,191,14,52,7,"573,832"
COLORADO,State,1990,3294394.00,14,31.8,40,6,0,"551,319"
CONNECTICUT,State,1990,3287116.00,5.8,678.8,6,6,0,"549,278"
DELAWARE,State,1990,666168.00,12.1,341.9,9,1,0,"668,696"
DISTRICT OF COLUMBIA,State,1990,606900.00,-4.9,"9,941.30",1,,,
FLORIDA,State,1990,12937926.00,32.7,241.3,12,23,4,"565,364"
GEORGIA,State,1990,6478216.00,18.6,112.6,23,11,1,"591,674"
HAWAII,State,1990,1108229.00,14.9,172.6,15,2,0,"557,637"
IDAHO,State,1990,1006749.00,6.7,12.2,46,2,0,"505,993"
ILLINOIS,State,1990,11430602.00,0,205.9,13,20,-2,"573,334"
INDIANA,State,1990,5544159.00,1,154.8,18,10,0,"556,423"
IOWA,State,1990,2776755.00,-4.7,49.7,35,5,-1,"557,485"
KANSAS,State,1990,2477574.00,4.8,30.3,41,4,-1,"621,400"
KENTUCKY,State,1990,3685296.00,0.7,93.3,25,6,-1,"616,495"
LOUISIANA,State,1990,4219973.00,0.3,97.7,24,7,-1,"605,459"
MAINE,State,1990,1227928.00,9.2,39.8,38,2,0,"616,612"
MARYLAND,State,1990,4781468.00,13.4,492.6,7,8,0,"599,828"
MASSACHUSETTS,State,1990,6016425.00,4.9,771.3,5,10,-1,"602,905"
MICHIGAN,State,1990,9295297.00,0.4,164.4,16,16,-2,"583,049"
MINNESOTA,State,1990,4375099.00,7.3,54.9,33,8,0,"548,379"
MISSISSIPPI,State,1990,2573216.00,2.1,54.8,34,5,0,"517,289"
MISSOURI,State,1990,5117073.00,4.1,74.4,29,9,0,"570,867"
MONTANA,State,1990,799065.00,1.6,5.5,50,1,-1,"803,655"
NEBRASKA,State,1990,1578385.00,0.5,20.5,44,3,0,"528,206"
NEVADA,State,1990,1201833.00,50.1,10.9,47,2,0,"603,076"
NEW HAMPSHIRE,State,1990,1109252.00,20.5,123.9,20,2,0,"556,958"
NEW JERSEY,State,1990,7730188.00,5,"1,051.10",2,13,-1,"596,049"
NEW MEXICO,State,1990,1515069.00,16.3,12.5,45,3,0,"507,260"
NEW YORK,State,1990,17990455.00,2.5,381.7,8,31,-3,"582,081"
NORTH CAROLINA,State,1990,6628637.00,12.7,136.3,19,12,1,"554,803"
NORTH DAKOTA,State,1990,638800.00,-2.1,9.3,48,1,0,"641,364"
OHIO,State,1990,10847115.00,0.5,265.5,11,19,-2,"573,017"
OKLAHOMA,State,1990,3145585.00,4,45.9,36,6,0,"526,267"
OREGON,State,1990,2842321.00,7.9,29.6,42,5,0,"570,747"
PENNSYLVANIA,State,1990,11881643.00,0.1,265.6,10,21,-2,"567,843"
PUERTO RICO,State,1990,3522037.00,10.2,"1,028.70",3,,,
RHODE ISLAND,State,1990,1003464.00,5.9,970.6,4,2,0,"502,992"
SOUTH CAROLINA,State,1990,3486703.00,11.7,116,22,6,0,"584,285"
SOUTH DAKOTA,State,1990,696004.00,0.8,9.2,49,1,0,"699,999"
TENNESSEE,State,1990,4877185.00,6.2,118.3,21,9,0,"544,071"
TEXAS,State,1990,16986510.00,19.4,65,31,30,3,"568,660"
UTAH,State,1990,1722850.00,17.9,21,43,3,0,"575,928"
VERMONT,State,1990,562758.00,10,61.1,32,1,0,"564,964"
VIRGINIA,State,1990,6187358.00,15.7,156.7,17,11,1,"565,143"
WASHINGTON,State,1990,4866692.00,17.8,73.2,30,9,1,"543,105"
WEST VIRGINIA,State,1990,1793477.00,-8,74.6,28,3,-1,"600,542"
WISCONSIN,State,1990,4891769.00,4,90.3,26,9,0,"545,194"
WYOMING,State,1990,453588.00,-3.4,4.7,51,1,0,"455,975"
MIDWEST REGION,Region,1990,59668632.00,1.4,,,,,
NORTHEAST REGION,Region,1990,50809229.00,3.4,,,,,
SOUTH REGION,Region,1990,85445930.00,13.4,,,,,
WEST REGION,Region,1990,52786082.00,22.3,,,,,
UNITED STATES,Nation,1990,248709873.00,9.8,70.4,,435,19,"572,466"
ALABAMA,State,2000,4447100.00,10.1,87.8,28,7,0,"637,304"
ALASKA,State,2000,626932.00,14,1.1,52,1,0,"628,933"
ARIZONA,State,2000,5130632.00,40,45.2,38,8,2,"642,585"
ARKANSAS,State,2000,2673400.00,13.7,51.4,36,4,0,"669,933"
CALIFORNIA,State,2000,33871648.00,13.8,217.4,14,53,1,"640,204"
COLORADO,State,2000,4301261.00,30.6,41.5,39,7,1,"615,983"
CONNECTICUT,State,2000,3405565.00,3.6,703.3,6,5,-1,"681,907"
DELAWARE,State,2000,783600.00,17.6,402.1,9,1,0,"785,068"
DISTRICT OF COLUMBIA,State,2000,572059.00,-5.7,"9,370.60",1,,,
FLORIDA,State,2000,15982378.00,23.5,298,10,25,2,"641,156"
GEORGIA,State,2000,8186453.00,26.4,142.3,20,13,2,"631,306"
HAWAII,State,2000,1211537.00,9.3,188.6,15,2,0,"608,321"
IDAHO,State,2000,1293953.00,28.5,15.7,46,2,0,"648,637"
ILLINOIS,State,2000,12419293.00,8.6,223.7,13,19,-1,"654,686"
INDIANA,State,2000,6080485.00,9.7,169.7,18,9,-1,"676,754"
IOWA,State,2000,2926324.00,5.4,52.4,35,5,0,"586,385"
KANSAS,State,2000,2688418.00,8.5,32.9,42,4,0,"673,456"
KENTUCKY,State,2000,4041769.00,9.7,102.4,25,6,0,"674,905"
LOUISIANA,State,2000,4468976.00,5.9,103.4,24,7,0,"640,039"
MAINE,State,2000,1274923.00,3.8,41.3,40,2,0,"638,866"
MARYLAND,State,2000,5296486.00,10.8,545.6,7,8,0,"663,486"
MASSACHUSETTS,State,2000,6349097.00,5.5,814,5,10,0,"635,557"
MICHIGAN,State,2000,9938444.00,6.9,175.8,17,15,-1,"663,722"
MINNESOTA,State,2000,4919479.00,12.4,61.8,33,8,0,"615,709"
MISSISSIPPI,State,2000,2844658.00,10.5,60.6,34,4,-1,"713,232"
MISSOURI,State,2000,5595211.00,9.3,81.4,29,9,0,"622,918"
MONTANA,State,2000,902195.00,12.9,6.2,50,1,0,"905,316"
NEBRASKA,State,2000,1711263.00,8.4,22.3,44,3,0,"571,790"
NEVADA,State,2000,1998257.00,66.3,18.2,45,3,1,"667,344"
NEW HAMPSHIRE,State,2000,1235786.00,11.4,138,22,2,0,"619,208"
NEW JERSEY,State,2000,8414350.00,8.9,"1,144.20",2,13,0,"648,027"
NEW MEXICO,State,2000,1819046.00,20.1,15,47,3,0,"607,940"
NEW YORK,State,2000,18976457.00,5.5,402.7,8,29,-2,"655,344"
NORTH CAROLINA,State,2000,8049313.00,21.4,165.6,19,13,1,"620,590"
NORTH DAKOTA,State,2000,642200.00,0.5,9.3,49,1,0,"643,756"
OHIO,State,2000,11353140.00,4.7,277.8,11,18,-1,"631,919"
OKLAHOMA,State,2000,3450654.00,9.7,50.3,37,5,-1,"691,764"
OREGON,State,2000,3421399.00,20.4,35.6,41,5,0,"685,709"
PENNSYLVANIA,State,2000,12281054.00,3.4,274.5,12,19,-2,"647,404"
PUERTO RICO,State,2000,3808610.00,8.1,"1,112.40",3,,,
RHODE ISLAND,State,2000,1048319.00,4.5,"1,014.00",4,2,0,"524,831"
SOUTH CAROLINA,State,2000,4012012.00,15.1,133.5,23,6,0,"670,844"
SOUTH DAKOTA,State,2000,754844.00,8.5,10,48,1,0,"756,874"
TENNESSEE,State,2000,5689283.00,16.7,138,21,9,0,"633,337"
TEXAS,State,2000,20851820.00,22.8,79.8,30,32,2,"653,250"
UTAH,State,2000,2233169.00,29.6,27.2,43,3,0,"745,571"
VERMONT,State,2000,608827.00,8.2,66.1,32,1,0,"609,890"
VIRGINIA,State,2000,7078515.00,14.4,179.2,16,11,0,"645,518"
WASHINGTON,State,2000,5894121.00,21.1,88.7,27,9,0,"656,520"
WEST VIRGINIA,State,2000,1808344.00,0.8,75.2,31,3,0,"604,359"
WISCONSIN,State,2000,5363675.00,9.6,99,26,8,-1,"671,401"
WYOMING,State,2000,493782.00,8.9,5.1,51,1,0,"495,304"
MIDWEST REGION,Region,2000,64392776.00,7.9,,,,,
NORTHEAST REGION,Region,2000,53594378.00,5.5,,,,,
SOUTH REGION,Region,2000,100236820.00,17.3,,,,,
WEST REGION,Region,2000,63197932.00,19.7,,,,,
UNITED STATES,Nation,2000,281421906.00,13.2,79.7,,435,12,"646,952"
ALABAMA,State,2010,4779736.00,7.5,94.4,29,7,0,"686,140"
ALASKA,State,2010,710231.00,13.3,1.2,52,1,0,"721,523"
ARIZONA,State,2010,6392017.00,24.6,56.3,35,9,1,"712,522"
ARKANSAS,State,2010,2915918.00,9.1,56,36,4,0,"731,557"
CALIFORNIA,State,2010,37253956.00,10,239.1,13,53,0,"704,566"
COLORADO,State,2010,5029196.00,16.9,48.5,39,7,0,"720,704"
CONNECTICUT,State,2010,3574097.00,4.9,738.1,6,5,0,"716,326"
DELAWARE,State,2010,897934.00,14.6,460.8,8,1,0,"900,877"
DISTRICT OF COLUMBIA,State,2010,601723.00,5.2,"9,856.50",1,,,
FLORIDA,State,2010,18801310.00,17.6,350.6,10,27,2,"700,029"
GEORGIA,State,2010,9687653.00,18.3,168.4,20,14,1,"694,826"
HAWAII,State,2010,1360301.00,12.3,211.8,15,2,0,"683,431"
IDAHO,State,2010,1567582.00,21.1,19,46,2,0,"786,750"
ILLINOIS,State,2010,12830632.00,3.3,231.1,14,18,-1,"714,688"
INDIANA,State,2010,6483802.00,6.6,181,18,9,0,"722,398"
IOWA,State,2010,3046355.00,4.1,54.5,38,4,-1,"763,447"
KANSAS,State,2010,2853118.00,6.1,34.9,42,4,0,"715,953"
KENTUCKY,State,2010,4339367.00,7.4,109.9,24,6,0,"725,101"
LOUISIANA,State,2010,4533372.00,1.4,104.9,26,6,-1,"758,994"
MAINE,State,2010,1328361.00,4.2,43.1,40,2,0,"666,537"
MARYLAND,State,2010,5773552.00,9,594.8,7,8,0,"723,741"
MASSACHUSETTS,State,2010,6547629.00,3.1,839.4,5,9,-1,"728,849"
MICHIGAN,State,2010,9883640.00,-0.6,174.8,19,14,-1,"707,973"
MINNESOTA,State,2010,5303925.00,7.8,66.6,33,8,0,"664,360"
MISSISSIPPI,State,2010,2967297.00,4.3,63.2,34,4,0,"744,560"
MISSOURI,State,2010,5988927.00,7,87.1,30,8,-1,"751,435"
MONTANA,State,2010,989415.00,9.7,6.8,50,1,0,"994,416"
NEBRASKA,State,2010,1826341.00,6.7,23.8,45,3,0,"610,608"
NEVADA,State,2010,2700551.00,35.1,24.6,44,4,1,"677,358"
NEW HAMPSHIRE,State,2010,1316470.00,6.5,147,23,2,0,"660,723"
NEW JERSEY,State,2010,8791894.00,4.5,"1,195.50",2,12,-1,"733,958"
NEW MEXICO,State,2010,2059179.00,13.2,17,47,3,0,"689,091"
NEW YORK,State,2010,19378102.00,2.1,411.2,9,27,-2,"719,298"
NORTH CAROLINA,State,2010,9535483.00,18.5,196.1,17,13,0,"735,829"
NORTH DAKOTA,State,2010,672591.00,4.7,9.7,49,1,0,"675,905"
OHIO,State,2010,11536504.00,1.6,282.3,12,16,-2,"723,031"
OKLAHOMA,State,2010,3751351.00,8.7,54.7,37,5,0,"752,976"
OREGON,State,2010,3831074.00,12,39.9,41,5,0,"769,721"
PENNSYLVANIA,State,2010,12702379.00,3.4,283.9,11,18,-1,"707,495"
PUERTO RICO,State,2010,3725789.00,-2.2,"1,088.20",3,,,
RHODE ISLAND,State,2010,1052567.00,0.4,"1,018.10",4,2,0,"527,624"
SOUTH CAROLINA,State,2010,4625364.00,15.3,153.9,22,7,1,"663,711"
SOUTH DAKOTA,State,2010,814180.00,7.9,10.7,48,1,0,"819,761"
TENNESSEE,State,2010,6346105.00,11.5,153.9,21,9,0,"708,381"
TEXAS,State,2010,25145561.00,20.6,96.3,28,36,4,"701,901"
UTAH,State,2010,2763885.00,23.8,33.6,43,4,1,"692,691"
VERMONT,State,2010,625741.00,2.8,67.9,32,1,0,"630,337"
VIRGINIA,State,2010,8001024.00,13,202.6,16,11,0,"730,703"
WASHINGTON,State,2010,6724540.00,14.1,101.2,27,10,1,"675,337"
WEST VIRGINIA,State,2010,1852994.00,2.5,77.1,31,3,0,"619,938"
WISCONSIN,State,2010,5686986.00,6,105,25,8,0,"712,279"
WYOMING,State,2010,563626.00,14.1,5.8,51,1,0,"568,300"
MIDWEST REGION,Region,2010,66927001.00,3.9,,,,,
NORTHEAST REGION,Region,2010,55317240.00,3.2,,,,,
SOUTH REGION,Region,2010,114555744.00,14.3,,,,,
WEST REGION,Region,2010,71945553.00,13.8,,,,,
UNITED STATES,Nation,2010,308745538.00,9.7,87.4,,435,12,"710,767"
ALABAMA,State,2020,5024279.00,5.1,99.2,29,7,0,"718,579"
ALASKA,State,2020,733391.00,3.3,1.3,52,1,0,"736,081"
ARIZONA,State,2020,7151502.00,11.9,62.9,35,9,0,"795,436"
ARKANSAS,State,2020,3011524.00,3.3,57.9,36,4,0,"753,439"
CALIFORNIA,State,2020,39538223.00,6.1,253.7,13,52,-1,"761,091"
COLORADO,State,2020,5773714.00,14.8,55.7,39,8,1,"722,771"
CONNECTICUT,State,2020,3605944.00,0.9,744.7,6,5,0,"721,660"
DELAWARE,State,2020,989948.00,10.2,508,8,1,0,"990,837"
DISTRICT OF COLUMBIA,State,2020,689545.00,14.6,"11,280.00",1,,,
FLORIDA,State,2020,21538187.00,14.6,401.4,10,28,1,"770,376"
GEORGIA,State,2020,10711908.00,10.6,185.6,19,14,0,"766,091"
HAWAII,State,2020,1455271.00,7,226.6,15,2,0,"730,069"
IDAHO,State,2020,1839106.00,17.3,22.3,46,2,0,"920,689"
ILLINOIS,State,2020,12812508.00,-0.1,230.8,14,17,-1,"754,279"
INDIANA,State,2020,6785528.00,4.7,189.4,18,9,0,"754,476"
IOWA,State,2020,3190369.00,4.7,57.1,38,4,0,"798,102"
KANSAS,State,2020,2937880.00,3,35.9,43,4,0,"735,216"
KENTUCKY,State,2020,4505836.00,3.8,114.1,25,6,0,"751,557"
LOUISIANA,State,2020,4657757.00,2.7,107.8,28,6,0,"776,911"
MAINE,State,2020,1362359.00,2.6,44.2,40,2,0,"681,791"
MARYLAND,State,2020,6177224.00,7,636.1,7,8,0,"773,160"
MASSACHUSETTS,State,2020,7029917.00,7.4,901.2,5,9,0,"781,497"
MICHIGAN,State,2020,10077331.00,2,178,20,13,-1,"775,726"
MINNESOTA,State,2020,5706494.00,7.6,71.7,32,8,0,"713,719"
MISSISSIPPI,State,2020,2961279.00,-0.2,63.1,34,4,0,"740,979"
MISSOURI,State,2020,6154913.00,2.8,89.5,30,8,0,"770,035"
MONTANA,State,2020,1084225.00,9.6,7.4,50,2,1,"542,704"
NEBRASKA,State,2020,1961504.00,7.4,25.5,45,3,0,"654,444"
NEVADA,State,2020,3104614.00,15,28.3,44,4,0,"777,116"
NEW HAMPSHIRE,State,2020,1377529.00,4.6,153.8,23,2,0,"689,545"
NEW JERSEY,State,2020,9288994.00,5.7,"1,263.00",2,12,0,"774,541"
NEW MEXICO,State,2020,2117522.00,2.8,17.5,47,3,0,"706,740"
NEW YORK,State,2020,20201249.00,4.2,428.7,9,26,-1,"777,529"
NORTH CAROLINA,State,2020,10439388.00,9.5,214.7,17,14,1,"746,711"
NORTH DAKOTA,State,2020,779094.00,15.8,11.3,49,1,0,"779,702"
OHIO,State,2020,11799448.00,2.3,288.8,12,15,-1,"787,257"
OKLAHOMA,State,2020,3959353.00,5.5,57.7,37,5,0,"792,703"
OREGON,State,2020,4237256.00,10.6,44.1,41,6,1,"706,917"
PENNSYLVANIA,State,2020,13002700.00,2.4,290.6,11,17,-1,"765,403"
PUERTO RICO,State,2020,3285874.00,-11.8,959.6,4,,,
RHODE ISLAND,State,2020,1097379.00,4.3,"1,061.40",3,2,0,"549,082"
SOUTH CAROLINA,State,2020,5118425.00,10.7,170.2,21,7,0,"732,102"
SOUTH DAKOTA,State,2020,886667.00,8.9,11.7,48,1,0,"887,770"
TENNESSEE,State,2020,6910840.00,8.9,167.6,22,9,0,"768,544"
TEXAS,State,2020,29145505.00,15.9,111.6,26,38,2,"767,981"
UTAH,State,2020,3271616.00,18.4,39.7,42,4,0,"818,813"
VERMONT,State,2020,643077.00,2.8,69.8,33,1,0,"643,503"
VIRGINIA,State,2020,8631393.00,7.9,218.6,16,11,0,"786,777"
WASHINGTON,State,2020,7705281.00,14.6,115.9,24,10,0,"771,595"
WEST VIRGINIA,State,2020,1793716.00,-3.2,74.6,31,2,-1,"897,523"
WISCONSIN,State,2020,5893718.00,3.6,108.8,27,8,0,"737,184"
WYOMING,State,2020,576851.00,2.3,5.9,51,1,0,"577,719"
MIDWEST REGION,Region,2020,68985454.00,3.1,,,,,
NORTHEAST REGION,Region,2020,57609148.00,4.1,,,,,
SOUTH REGION,Region,2020,126266107.00,10.2,,,,,
WEST REGION,Region,2020,78588572.00,9.2,,,,,
UNITED STATES,Nation,2020,331449281.00,7.4,93.8,,435,7,"761,169"
